Agence,Date de transaction,Communes,map
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Beloeil,"50.531288200000006, 3.6880111096489694"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Beloeil,"50.531288200000006, 3.6880111096489694"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Erquelinnes,"50.3030663, 4.158430897938041"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Enghien,"50.6957066, 4.0411928"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Soignies,"50.579203, 4.0685604"
Clermont A,2023-03-31,Beloeil,"50.531288200000006, 3.6880111096489694"
Clermont A,2023-09-30,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lens,"50.5777797, 3.933181493586007"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Chièvres,"50.56999985, 3.7793461759110007"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2023-09-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-12-31,Péruwelz,"50.5072245, 3.5905464"
Clermont A,2023-03-31,Saint-Ghislain,"50.4477484, 3.8195241"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-03-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-03-31,Beloeil,"50.531288200000006, 3.6880111096489694"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
Clermont A,2022-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Lessines,"50.7123036, 3.8301131"
Clermont A,2023-12-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-06-30,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Brugelette,"50.6016956, 3.8647978539522874"
Clermont A,2023-03-31,Ath,"50.6311349, 3.7769485"
Clermont A,2023-09-30,Ath,"50.6311349, 3.7769485"
